Software migration problem specification (2 versions, 20 functionalities)
=
Demo version:
 budget: +500
 functionality 1:
  cost: +114
  bvalue: +57
 functionality 2:
  cost: +120
  bvalue: +94
 functionality 3:
  cost: +130
  bvalue: +59
 functionality 4:
  cost: +74
  bvalue: +83
 functionality 5:
  cost: +29
  bvalue: +82
 functionality 6:
  cost: +11
  bvalue: +91
 functionality 7:
  cost: +73
  bvalue: +42
 functionality 8:
  cost: +80
  bvalue: +84
 functionality 9:
  cost: +81
  bvalue: +85
 functionality 10:
  cost: +82
  bvalue: +18
 functionality 11:
  cost: +112
  bvalue: +94
 functionality 12:
  cost: +96
  bvalue: +18
 functionality 13:
  cost: +44
  bvalue: +31
 functionality 14:
  cost: +57
  bvalue: +27
 functionality 15:
  cost: +20
  bvalue: +31
 functionality 16:
  cost: +20
  bvalue: +42
 functionality 17:
  cost: +99
  bvalue: +58
 functionality 18:
  cost: +95
  bvalue: +57
 functionality 19:
  cost: +52
  bvalue: +55
 functionality 20:
  cost: +81
  bvalue: +97
=
Payed full version:
 budget: +1500
 functionality 1:
  cost: +90
  bvalue: +30
 functionality 2:
  cost: +60
  bvalue: +19
 functionality 3:
  cost: +130
  bvalue: +80
 functionality 4:
  cost: +110
  bvalue: +66
 functionality 5:
  cost: +69
  bvalue: +48
 functionality 6:
  cost: +23
  bvalue: +100
 functionality 7:
  cost: +105
  bvalue: +13
 functionality 8:
  cost: +179
  bvalue: +87
 functionality 9:
  cost: +90
  bvalue: +62
 functionality 10:
  cost: +200
  bvalue: +73
 functionality 11:
  cost: +96
  bvalue: +53
 functionality 12:
  cost: +144
  bvalue: +79
 functionality 13:
  cost: +95
  bvalue: +17
 functionality 14:
  cost: +91
  bvalue: +93
 functionality 15:
  cost: +94
  bvalue: +128
 functionality 16:
  cost: +110
  bvalue: +22
 functionality 17:
  cost: +91
  bvalue: +85
 functionality 18:
  cost: +61
  bvalue: +86
 functionality 19:
  cost: +97
  bvalue: +56
 functionality 20:
  cost: +120
  bvalue: +86
